cluster,name,value,recency,linkedin_pos,desc,roles,,,,
AI & Generative Search,Conversational AI,85,90,10,"Prompt engineering, function calling, agent state management, multi-turn conversation design, LLM orchestration for enterprise search use cases",Avantor 2024–2026,,,,
AI & Generative Search,RAG,70,90,,"Retrieval-Augmented Generation pipeline design, hybrid keyword/vector retrieval, source grounding, citation injection, hallucination mitigation strategies",Avantor 2024–2026,,,,
AI & Generative Search,AEO,50,50,,"Answer Engine Optimization: structuring content for AI Overviews, featured snippet capture, People Also Ask optimization, FAQ schema, passage indexing",Avantor 2024–2026,,,,
AI & Generative Search,GEO,50,50,,"Generative Engine Optimization: citation strategy for ChatGPT, Perplexity, Gemini; Otterly.ai monitoring; generative engine content and authority building",Avantor 2024–2026,,,,
AI & Generative Search,ML Re-ranking,60,80,5,"ML-driven re-ranking frameworks, behavioral signal boosting, signal-to-feature pipelines, online/offline evaluation loop design",TF 2014–2024 · Avantor 2024–2026,,,,
AI & Generative Search,Vector Search & Embeddings,50,80,16,Dense vector embeddings using HuggingFace sentence-transformers, kNN vector search in Elasticsearch, hybrid keyword/vector retrieval for semantic search use cases,Self-directed · Avantor 2024–2026,,
AI & Generative Search,NLP,60,90,9,"Natural language processing fundamentals: tokenization, stemming, lemmatization, named entity recognition, intent classification; applied to query understanding and search relevance pipelines",TF 2014–2024 · Avantor 2024–2026,,,,
AI & Generative Search,LLMs,80,100,15,"Large language model integration: OpenAI GPT-4, function calling, prompt engineering, context window management, output grounding, hallucination mitigation; shipped to enterprise production",Avantor 2024–2026,,,,
Search Platforms,Lucidworks Fusion,80,70,,"ML-based re-ranking pipelines, behavioral signals integration, Fusion Studio query workflows, connector management, signal aggregation jobs",TF 2014–2024 · Avantor 2024–2026,,,,
Search Platforms,SOLR,70,90,,"Apache Solr configuration, schema design, field type optimization, query parser selection, relevance debugging, facet queries",TF 2014–2024 · Avantor 2024–2026,,,,
Search Platforms,Endeca,80,60,,"Oracle Endeca Experience Manager, record adapter configuration, dimension attribute management; led migration to Lucidworks protecting $3B eComm revenue",TF 2010–2021,,,,
Search Platforms,FAST,80,40,,"Microsoft FAST ESP pipeline stages, document processing, keyword extraction; led migration away from FAST platform protecting $3B revenue channel",TF 2010–2021,,,,
Search Platforms,Platform Migrations,100,50,,"FAST→Endeca, Endeca→Lucidworks Fusion; designed pre-production A/B testing; established SLA and post-install performance specs (query response, uptime, indexing)",TF 2010–2024,,,,
Search Platforms,Elasticsearch,15,80,18,"Elasticsearch query DSL, index configuration, dense vector field mappings for semantic search; built demo using HuggingFace sentence-transformers with kNN vector search",Self-directed,,,,
Search Platforms,Hybrid Search,30,100,12,BM25 keyword + dense vector retrieval with Reciprocal Rank Fusion (RRF), implemented in SearchReference demo across STaRK-Amazon and ESCi datasets, 9 search modes benchmarked,Self-directed 2026,,
Search Platforms,Qdrant,25,100,,Search Reference Project,,,,,
Search Platforms,Doesn't Matter,100,100,,"FAST → Endeca → Lucidworks Fusion → SOLR → Elasticsearch → whatever is next. Every generation of enterprise search has a different API and the same core problems: relevance, recall, latency, and customer-specific data in results. I have navigated every platform transition since 2010, and I am actively working with vector search and agentic retrieval now. The platform is a tool. The problems are permanent.",TF 2010–2024 · Avantor 2024–2026 · Self-directed,,,,
Search UX & Quality,Information Retrieval,85,100,3,"Core IR theory and practice: ranking models (BM25, LTR, vector), evaluation frameworks (NDCG, MRR, Precision@K), query processing pipelines, index design; 16 years of applied IR in production eCommerce search",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,SRP Design,100,100,,"Search results page layout architecture, result card metadata hierarchy, sorting controls, result count display, pagination patterns, zero-state design",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,Faceted Navigation,100,100,,"Auto-faceting, dynamic attribute filtering, smart facet ordering via customer popularity ranking and sequential engagement linkages; governed across 10M+ product catalog",TF 2014–2024,,,,
Search UX & Quality,Autocomplete,100,80,,"Ghost text implementation, keyword + category suggestions, ML frequency boosting, log-based decay factor tuning, negative keyword filtering, visual hierarchy design",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,Multilingual Search,95,70,,"Language-specific analyzers, cross-language synonym lists for recall improvement, URL-based localization; 15 global domains across Europe, Asia-Pacific, Americas",TF 2014–2024,,,,
Search UX & Quality,Query Understanding,70,90,,"Synonym management (Lucidworks Fusion generator), spell correction pipelines, ML-based autocomplete (frequency boosting, log-based decay, ghost term filtering)",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,Relevance Tuning,90,90,,"Business rule definition, field weight rationale documentation, boosting strategy governance, relevance committee facilitation, stakeholder alignment frameworks",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,Behavioral Signals,100,70,,"Behavioral signal pipeline design, clickstream instrumentation, implicit feedback collection, signal quality filtering, ML training data curation for ranking models",TF 2014–2024 · Avantor 2024–2026,,,,
Search UX & Quality,No Results Recovery,95,90,,"Zero-results strategy and UX, fallback messaging, query broadening suggestions, related category recommendations, partial match recovery, null prevention logic",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,Spell Check / DYM,85,90,,"Spell correction configuration, Did You Mean confidence thresholds, transparent correction UX patterns, query amendment design, auto-correct vs. suggested correction decisions",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,Browse Navigation,100,100,,"Category hierarchy design, breadcrumb patterns, left-rail navigation, attribute-driven browsing flows, mega-menu architecture for large scientific catalogs",TF 2010–2024,,,,
Search UX & Quality,Category Page Design,100,100,,"Category landing page templates, hero content, product grid layout, attribute filter integration, SEO metadata, CMS-driven content zones",TF 2010–2024,,,,
Search UX & Quality,Click Analysis,100,100,,"CTR measurement by position, click distribution modeling, position bias correction, behavioral pattern analysis, human-only signal filtering",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,Search UX Testing,85,100,,"Usability studies, task-based search scenario design, think-aloud protocols, SRP variant testing, A/B test hypothesis design for search interactions",TF 2010–2024 · Avantor 2024–2026,,,,
Search UX & Quality,UI Design,85,100,,"End-to-end interface design for search and eCommerce experiences: wireframing, component specification, visual hierarchy, responsive layout, accessibility; built production UIs across thermofisher.com, fishersci.com, and the VWR AI Assistant",TF 2010–2024 · Avantor 2024–2026 · Current,,,,
Search UX & Quality,Personalization,25,70,14,"Customer history signals, purchase affinity-based re-ranking, personalized search results frameworks — exposure and design work; not deep production implementation",TF 2021–2024,,,,
Analytics & Measurement,KPI Framework Design,100,100,,"Formal metric definitions, calculation methodology, glossary, and reference table; published as org-level artifact used across search and analytics teams",TF 2021–2024,,,,
Analytics & Measurement,Adobe Analytics,95,65,,"Omniture/SiteCatalyst implementation, eVar/prop configuration, report suite management, dashboard distribution across global search and merchandising teams",TF 2010–2024,,,,
Analytics & Measurement,GA4,90,100,46,Implementation from scratch, custom event taxonomy, human-only signal collection (search box vs. SRP loads), $/click revenue attribution, funnel analysis,Avantor 2024–2026
Analytics & Measurement,Looker,85,90,,"LookML dimensional modeling, explore-level field definitions, join logic, dashboard distribution for exec and operational audiences",Avantor 2024–2026,,,,
Analytics & Measurement,Power BI,60,70,23,"ETL via Power Query, DAX measures (calculate, conditionals, time intelligence), calendar tables, GA4 connector, exec-facing dashboards",Avantor 2024–2026,,,,
Analytics & Measurement,A/B Testing,60,90,13,"Pre/post statistical significance testing, click distribution analysis, pre-production A/B testing frameworks, confidence intervals, sample size planning",TF 2010–2024 · Avantor 2024–2026,,,,
Analytics & Measurement,Offline Eval (NDCG),55,90,,"NDCG, Precision@K, Recall@K, MRR at multiple depths (top-5, top-10); non-inferiority testing; tradeoff decision modeling across 2,000 high-volume queries",Avantor 2024–2026,,,,
Analytics & Measurement,SEMrush,50,95,,"Keyword gap analysis, competitor research, backlink auditing, content opportunity identification, technical SEO issue monitoring",Avantor 2024–2026,,,,
Analytics & Measurement,Google Search Console,25,95,,"Coverage reports, crawl error analysis, Core Web Vitals monitoring, indexing status, URL inspection tool, search performance query analysis",Avantor 2024–2026,,,,
Product & Leadership,$3B Revenue Channel,100,70,,Sole PM for thermofisher.com + fishersci.com, 10M+ complex scientific products across 15 global domains, 95% decision authority for 11+ years,TF 2010–2024,,
Product & Leadership,$14M Revenue Delivery,100,90,,SOLR field weight tuning in 90-day cycle, CIO audit identifying platform gaps, 2% CTR lift validated to statistical significance, presented to VP and Operations,Avantor 2024–2026,
Product & Leadership,0-to-1 AI Product,100,90,,AvantorAI/Navigator: rescued failing initiative with paradigm-shifting architecture, launched multilingual US/Canada, recognized by CEO Michael Stubblefield in Q2 2025 earnings call,Avantor 2024–2026,,
Product & Leadership,Agile / Scrum,95,90,35,"Sprint planning, backlog refinement, velocity tracking, retrospectives; led 5+ SCRUM teams simultaneously across on/offshore resources",TF 2010–2024,,,,
Product & Leadership,SAFe,90,70,34,"PI planning, ART coordination; led TF transition from Agile SCRUM to SAFe; created Jira process flows and sprint structures adopted as SDLC standard across multiple teams",TF 2010–2024,,,,
Product & Leadership,WSJF / Prioritization,100,90,,"Weighted Shortest Job First, Business Value frameworks, OKRs; secured CIO approval for $170M 3-year revenue roadmap using project gates",TF 2021–2024 · Avantor 2024–2026,,,,
Product & Leadership,Cross-functional Teams,93,90,36,"30 members across 6 functions; 5 on/offshore Agile SCRUM dev teams; 3 direct reports; mentored PMs, BAs, SOs, POs; built 6 cross-functional teams over tenure",TF 2021–2024,,,,
Product & Leadership,Executive Communication,90,90,29,CIO-level funding presentations, VP roadmap reviews, translated complex technical capabilities into executive language, secured phased funding with pre-negotiated resources,TF 2021–2024 · Avantor 2024–2026,
Product & Leadership,Vendor Management,85,100,,"Managed search platform vendors (Lucidworks), chemical structure search, and A/B testing partners; solo MSA negotiation through 3-month procurement approval chain",TF 2014–2024 · Avantor 2024–2026,,,,
Technical Skills,VBA,100,80,,"Expert-level Excel automation (30+ custom applications), Outlook MAPI integration (email triggers + parsing), Access GUI + reports — 31 years of self-teaching",All roles,,,,
Technical Skills,Excel,100,100,,"25+ years of intensive use across every role; custom programming far beyond typical business use — 30+ purpose-built applications, advanced formula engineering, dynamic array functions, pivot automation, and a fully functional viewer for the entire human genome built entirely in Excel",All roles,,,,
Technical Skills,GitHub Copilot,90,100,38,"Power user of agentic coding workflows, inline completion, multi-file context edits, prompt engineering for code generation; built this career site entirely with Copilot",Current,,,,
Technical Skills,GitHub / Git / VS Code,95,100,,"Version control workflows, branching strategies, GitHub Pages deployment, VS Code extensions; full development environment for this career site",Current,,,,
Technical Skills,HTML,75,80,,"Hobbyist class. Semantic markup, custom layouts, GitHub Pages templating, inline styles, accessibility basics; used extensively building this career site",Multiple roles · Current,,,,
Technical Skills,CSS,75,80,,"Hobbyist class. Flexbox, grid, responsive design, custom animations, print stylesheets, sticky positioning; used extensively building this career site",Multiple roles · Current,,,,
Technical Skills,JavaScript,25,100,,"Hobbyist class. Custom D3.js visualizations (this page), event handling, DOM manipulation, setTimeout/async patterns, dashboard integration",Multiple roles · Current,,,,
Technical Skills,Django,20,80,,"Hobbyist class. MVC framework fundamentals, URL routing, templates, models; self-directed coursework",Self-directed,,,,
Technical Skills,Ruby,85,80,,"Hobbyist class. Core language features, object-oriented patterns, scripting; strong foundational proficiency from self-directed study",Self-directed,,,,
Technical Skills,C,35,10,,"Hobbyist class. Pointers, memory management, structs, compilation; foundational systems programming coursework",Self-directed,,,,
Technical Skills,Python,25,100,21,"Web scraping (BeautifulSoup/requests), data processing (pandas), automation scripts, job search tooling — self-taught, growing actively",Current,,,,
Technical Skills,Postman / APIs,70,90,24,"REST API testing and exploration, request chaining, environment variables, authentication flows (API key, Bearer); used extensively for search platform integrations and AI assistant development",TF 2014–2024 · Avantor 2024–2026,,,,
Technical Skills,SQL,55,65,22,"Oracle production schema queries (Motorola), ODBC to TF enterprise data warehouse, MySQL, complex JOINs, subqueries, stored procedures",Motorola 1999–2003 · TF 2010–2024,,,,
Technical Skills,Database Design,65,65,,Oracle production tablespace/schema at Motorola, ODBC integration to TF enterprise data warehouse, MS Access normalized relational custom apps,Motorola 1999–2003 · TF 2010–2024,,
Domain Expertise,Life Sciences eComm,100,90,6,14+ yrs across TF + Avantor, 10M+ complex scientific products, B2B purchasing workflows at enterprise scale, global multi-domain platforms for researchers and procurement teams,TF 2010–2024 · Avantor 2024–2026,
Domain Expertise,Scientific Taxonomy,75,95,,Chemical structure search, CAS ID landing pages, attribute structures for 10M+ products, application and marketing pages, CMS workflows and content governance,TF 2010–2024
Domain Expertise,SEO / Organic Discovery,70,65,,20000+ SEO landing pages generated via taxonomy improvements and chemical structure search modernization, structured data, organic traffic growth strategies,TF 2014–2024,,
Domain Expertise,B2B Sales & BD,60,10,,">$1M contracts closed (exclusive/non-exclusive licensing, OEM supply); $1.2M+ BD pipeline; CEO-level outreach to Fortune 500 targets; OEM negotiations",Safe Life 2007–2010,,,,
Projects: Search Reference App,Next.js 15.5.14,20,100,,"React framework powering all frontend pages, SRP, browse landing, category PLPs, and layout",,,,,
Projects: Search Reference App,React 19,25,100,,"UI component model; drives all interactive state (search results, filters, quick view, compare bar)",,,,,
Projects: Search Reference App,TypeScript,20,100,,Static typing across the entire frontend codebase,,,,,
Projects: Search Reference App,Tailwind CSS,10,100,,Utility-first styling for all components,,,,,
Projects: Search Reference App,FastAPI,10,100,,Python API server handling /api/search and /api/browse endpoints,,,,,
Projects: Search Reference App,Uvicorn,5,100,,ASGI server running the FastAPI application,,,,,
Projects: Search Reference App,Qdrant,10,100,,"Vector database storing product embeddings and serving hybrid, semantic, and BM42 search queries",,,,,
Projects: Search Reference App,qdrant-client,10,100,,"Python SDK for querying Qdrant, builds filters, executes searches, returns ranked results",,,,,
Projects: Search Reference App,FastEmbed (ONNX),10,100,,Lightweight embedding library generating dense and sparse vectors at query time without PyTorch,,,,,
Projects: Search Reference App,BAAI/bge-small-en-v1.5,5,100,,384-dimension dense embedding model used for semantic (vector similarity) search,,,,,
Projects: Search Reference App,Splade_PP_en_v1,5,100,,Sparse embedding model used for BM42 attention-weighted keyword search,,,,,
Projects: Search Reference App,Groq,90,100,,LLM inference API client (available for RAG and query augmentation features),,,,,
Projects: Search Reference App,Nginx,50,100,,Reverse proxy routing HTTPS traffic to the Next.js frontend and FastAPI backend,,,,,
Projects: Search Reference App,Docker / Docker Compose,25,100,,"Containerises all four services (frontend, backend, Qdrant, Nginx) for consistent deployment",,,,,
Projects: Search Reference App,Let's Encrypt,5,100,,Provides the TLS certificate for relevant.systems via Certbot,,,,,
Projects: Search Reference App,Ubuntu 22.04,60,100,,Host operating system on the production VPS,,,,,
Projects: Exe Assistant,GitHub Copilot (Claude Sonnet 4.6),90,100,,"The AI reasoning engine; interprets requests, makes decisions, calls tools, drafts content",,,,,
Projects: Exe Assistant,VS Code,80,100,,The host environment, all interaction happens inside the editor via Copilot Chat,,,,
Projects: Exe Assistant,VS Code Speech,100,100,,Voice input, speaks directly into the Copilot chat prompt for hands-free operation,,,,
Projects: Exe Assistant,Model Context Protocol (MCP),60,100,,"The integration layer; defines how Copilot calls external tools (email, calendar) via stdio JSON-RPC",,,,,
Projects: Exe Assistant,Node.js,20,100,,Runtime for all custom MCP servers,,,,,
Projects: Exe Assistant,Custom IMAP MCP Server,90,100,,"Purpose-built tool server; exposes email operations (search, move, read, send, draft, reply) to Copilot as callable tools; two instances",,,,,
Projects: Exe Assistant,Custom CalDAV MCP Server,90,100,,"Purpose-built tool server; exposes iCloud calendar operations (list, get events, create, update) to Copilot",,,,,
Projects: Exe Assistant,iCloud CalDAV,90,100,,"Calendar data store; hosts all calendars (Work, Home, Events, Reminders); accessed via CalDAV protocol",,,,,
Projects: Exe Assistant,IMAP / SMTP,50,100,,Email protocol, both MCP email servers communicate with mail servers using IMAP for read/move/search and SMTP for send,,,,
